Item number,"Freq
Target",Diam_LL,Diam_UL,Tip OD LENGTH,Formula-G,Formula-PO
G5WR60A,246,8.4,8.56,UPT TOD @76MM,1,1
G5WR60A,246,8.4,8.56,UPT TOD @25MM,1,1
G5WL60A,221,8.4,8.56,UPT TOD @25MM,1,1
G5WL60A,221,8.4,8.56,UPT TOD @76MM,1,1
G6WR60A,246,8.4,8.56,UPT TOD @25MM,1,1
G6WR60A,246,8.4,8.56,UPT TOD @76MM,1,1
G8IR20A,266,9.35,9.45,UPT TOD @76MM,1,1
G8IR20A,266,9.35,9.45,UPT TOD @25MM,1,1
G8IS20A,281,9.35,9.45,UPT TOD @76MM,1,1
G8IS20A,281,9.35,9.45,UPT TOD @25MM,1,1
N6WR60A,241,8.4,8.56,UPT TOD @25MM,1,1
N6WR60A,241,8.4,8.56,UPT TOD @76MM,2,1
N6WS60A,256,8.4,8.56,UPT TOD @25MM,2,1
N6WS60A,256,8.4,8.56,UPT TOD @76MM,2,1
N5WR60A,241,8.4,8.56,UPT TOD @25MM,2,1
N5WR60A,241,8.4,8.56,UPT TOD @76MM,2,1
G6WX60A,276,8.4,8.56,UPT TOD @25MM,2,1
G6WX60A,276,8.4,8.56,UPT TOD @76MM,2,1
G6WS60B,261,8.4,8.56,UPT TOD @25MM,2,1
G6WS60B,261,8.4,8.56,UPT TOD @76MM,2,1
N4WA60A,221,8.4,8.56,UPT TOD @76MM,2,1
N4WA60A,221,8.4,8.56,UPT TOD @25MM,2,1
N4WL60A,206,8.4,8.56,UPT TOD @76MM,2,1
N4WL60A,206,8.4,8.56,UPT TOD @25MM,2,1
N5WS60A,256,8.4,8.56,UPT TOD @25MM,3,2
N5WS60A,256,8.4,8.56,UPT TOD @76MM,3,2
VMHR20A,276,9.29,9.45,UPT TOD @3MM,3,2
VMHR20A,276,9.29,9.45,UPT TOD @127MM,3,2
G5WA60A,231,8.4,8.56,UPT TOD @25MM,3,2
G5WA60A,231,8.4,8.56,UPT TOD @76MM,3,2
